direction,command_velocity,repeat_index,start_position,end_position,displacement,absolute_displacement,move_rtt_ms,stop_rtt_ms
left,-0.8,1,-0.780555546,0.815222204,-0.4042222500000001,0.4042222500000001,107.69057102152146,109.11111600580625
left,-0.8,2,0.815222204,0.410111099,-0.405111105,0.405111105,109.27842700039037,109.00637399754487
left,-0.8,3,0.410111099,0.00527777756,-0.40483332144,0.40483332144,109.1860159940552,109.71766998409294
left,-0.6,1,0.00527777756,-0.266722232,-0.27200000956,0.27200000956,107.701769011328,109.52473297948018
left,-0.6,2,-0.266722232,-0.539388895,-0.272666663,0.272666663,109.55095000099391,109.31910999352112
left,-0.6,3,-0.539388895,-0.812055528,-0.27266663300000005,0.27266663300000005,109.3753119930625,109.20643899589777
left,-0.4,1,-0.812055528,-0.962222219,-0.15016669100000002,0.15016669100000002,109.6387900179252,108.6973269993905
left,-0.4,2,-0.962222219,0.887722194,-0.150055587,0.150055587,109.48370900587179,109.17917601182126
left,-0.4,3,0.887722194,0.737999976,-0.14972221799999996,0.14972221799999996,109.66139199445024,109.67780099599622
left,-0.3,1,0.737999976,0.651444435,-0.08655554099999996,0.08655554099999996,109.44694699719548,108.88079699361697
left,-0.3,2,0.651444435,0.564611137,-0.08683329800000006,0.08683329800000006,109.71005901228637,108.85359099484049
left,-0.3,3,0.564611137,0.478111118,-0.08650001899999998,0.08650001899999998,109.61786398547702,109.31619800976478
left,-0.2,1,0.478111118,0.435333341,-0.04277777700000002,0.04277777700000002,108.64572698483244,108.98416402051225
left,-0.2,2,0.435333341,0.392555565,-0.04277777599999999,0.04277777599999999,109.45601898129098,108.9476699999068
left,-0.2,3,0.392555565,0.349722236,-0.042833328999999976,0.042833328999999976,109.54498400678858,108.82966301869601
left,-0.15,1,0.349722236,0.323722214,-0.02600002200000001,0.02600002200000001,109.47895699064247,108.81489000166766
left,-0.15,2,0.323722214,0.297833323,-0.025888891000000025,0.025888891000000025,110.48045600182377,108.41410199645907
left,-0.15,3,0.297833323,0.271944433,-0.025888889999999998,0.025888889999999998,109.18038999079727,109.13247900316492
left,-0.1,1,0.271944433,0.2588889,-0.013055533000000008,0.013055533000000008,109.14143300033174,109.19700298109092
left,-0.1,2,0.2588889,0.245888889,-0.013000010999999978,0.013000010999999978,109.1622969834134,109.09400999662466
left,-0.1,3,0.245888889,0.232888892,-0.012999997000000013,0.012999997000000013,109.40809000749141,108.94667101092637
right,0.1,1,0.232888892,0.24594444,0.013055548,0.013055548,110.5521889985539,108.00277200178243
right,0.1,2,0.24594444,0.258944452,0.013000012000000005,0.013000012000000005,109.19752399786375,108.94471101346426
right,0.1,3,0.258944452,0.272000015,0.013055562999999992,0.013055562999999992,109.51129999011755,108.79024700261652
right,0.15,1,0.272000015,0.297833323,0.025833308,0.025833308,109.20463997172192,110.63221999211237
right,0.15,2,0.297833323,0.323722214,0.025888891000000025,0.025888891000000025,109.85695000272244,109.39744199276902
right,0.15,3,0.323722214,0.349666655,0.025944440999999985,0.025944440999999985,109.36852698796429,108.9696449926123
right,0.2,1,0.349666655,0.392444432,0.04277777700000002,0.04277777700000002,109.32703001890332,108.95674300263636
right,0.2,2,0.392444432,0.435222208,0.04277777599999999,0.04277777599999999,109.25082201720215,109.070319973398
right,0.2,3,0.435222208,0.477999985,0.04277777700000002,0.04277777700000002,109.3334519828204,108.91556498245336
right,0.3,1,0.477999985,0.564666688,0.08666670299999996,0.08666670299999996,109.49147399514914,109.10969000542536
right,0.3,2,0.564666688,0.651166677,0.086499989,0.086499989,109.56542199710384,109.1785749886185
right,0.3,3,0.651166677,0.737722218,0.08655554100000007,0.08655554100000007,109.3659280159045,109.22195899183862
right,0.4,1,0.737722218,0.88755554,0.149833322,0.149833322,109.23539497889578,109.56179699860513
right,0.4,2,0.88755554,-0.962388873,0.150055587,0.150055587,109.29681398556568,109.44680799730122
right,0.4,3,-0.962388873,-0.812222242,0.15016663099999994,0.15016663099999994,109.48945200652815,108.98611298762262
right,0.6,1,-0.812222242,-0.539055526,0.2731667160000001,0.2731667160000001,109.05634600203484,109.94635400129482
right,0.6,2,-0.539055526,-0.266444445,0.272611081,0.272611081,109.40321697853506,109.87583801033907
right,0.6,3,-0.266444445,0.006222222,0.272666667,0.272666667,109.38469797838479,108.95086199161597
right,0.8,1,0.006222222,0.411500007,0.405277785,0.405277785,109.16010700748302,108.96971100009978
right,0.8,2,0.411500007,0.81655556,0.40505555299999996,0.40505555299999996,109.08035997999832,109.09887598245405
right,0.8,3,0.81655556,-0.778333306,0.4051111340000002,0.4051111340000002,109.19496498536319,109.18424400733784
